2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/NullReader.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-623.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/StructWriters.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-624.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/ComplexWriters.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-626.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/UnionMapWriter.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-627.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/AbstractFieldWriter.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-629.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/ComplexCopier.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-630.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/ComplexReaders.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-632.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/HolderReaderImpl.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-633.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/ValueHolders.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-634.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/DenseUnionWriter.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-635.md")
2025.12.19 20:13:54 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/jar:file:/Users/verussequeira/Library/Caches/Coursier/v1/https/repo1.maven.org/maven2/org/apache/arrow/arrow-vector/12.0.1/arrow-vector-12.0.1-sources.jar!/codegen/templates/DenseUnionReader.java]
2025.12.19 20:13:54 INFO  Java indexer failed with and exception. (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_failed-idex-java_20-13-54-637.md")
2025.12.19 20:13:58 INFO  time: indexed workspace in 25s
2025.12.19 20:13:59 INFO  compiling spark-analytics-job (10 scala sources)
